result_count,comp_country,comp_iso,person_country,person_iso
317,Czech Republic,CZ,Other European countries,DK
316,Hungary,HU,Other European countries,RO
314,Other European countries,AT,Switzerland,CH
313,Czech Republic,CZ,United Kingdom,GB
311,Czech Republic,CZ,Other European countries,IT
310,Other European countries,SE,Netherlands,NL
307,Belgium,BE,Spain,ES
307,Other European countries,IT,Poland,PL
306,Other European countries,IE,France,FR
306,Other European countries,SI,Germany,DE
299,Germany,DE,Other European countries,TR
298,Germany,DE,Other European countries,RO
292,Other European countries,NO,Other European countries,FI
289,Other European countries,CY,Other European countries,RU
287,France,FR,Other European countries,RU
285,France,FR,Other European countries,RO
283,Switzerland,CH,Hungary,HU
282,Other European countries,IT,Spain,ES
281,Belgium,BE,Other European countries,RO
277,Other European countries,AM,Other European countries,RU
277,Other European countries,CY,Other European countries,GR
275,Netherlands,NL,Spain,ES
274,Other European countries,DK,Other European countries,UA
272,Poland,PL,Other European countries,SE
271,Other European countries,DK,Switzerland,CH
270,Spain,ES,Other European countries,AD
269,Other European countries,AT,Poland,PL
264,Other European countries,HR,Other European countries,AT
262,Other European countries,FI,Poland,PL
259,Other European countries,FI,Other European countries,DK
259,Poland,PL,Other European countries,IT
258,Other European countries,SE,Other European countries,PT
254,Spain,ES,Other European countries,GR
251,Czech Republic,CZ,Other European countries,SE
249,United Kingdom,GB,Other European countries,RO
247,France,FR,Other European countries,SK
245,Czech Republic,CZ,Other European countries,BY
239,Other European countries,SE,Other European countries,IT
238,Other European countries,IT,Other European countries,UA
238,Other European countries,MK,Other European countries,BG
237,Other European countries,PT,Germany,DE
237,Other European countries,RS,Other European countries,BG
233,Hungary,HU,Czech Republic,CZ
233,Poland,PL,Other European countries,AT
230,Other European countries,EE,Other European countries,UA
226,Germany,DE,Other European countries,IL
226,Hungary,HU,Other European countries,IL
226,Other European countries,NO,Hungary,HU
